price,m2_price,square,rooms,district,micro_district,building_type,floor,floors,condition,building_age,floor_to_floors,is_good_floor
180000,1160,155,4,1,0,2,1,3,5,9,0.3333333333333333,0
85000,966,88,4,1,0,0,9,9,6,4,1.0,0
48000,762,63,2,1,0,1,3,12,2,1,0.25,1
66000,1375,48,2,1,0,1,8,9,5,9,0.8888888888888888,0
47500,1105,43,1,1,0,2,5,9,6,4,0.5555555555555556,0
55000,747,74,2,1,0,1,1,9,2,4,0.1111111111111111,0
63000,1086,58,1,3,1,1,6,10,5,8,0.6,0
90000,1268,71,3,0,4,2,4,5,6,40,0.8,0
210000,1167,180,3,2,3,2,2,11,5,10,0.18181818181818182,1
136000,932,146,3,3,1,1,10,10,5,8,1.0,0
39900,725,55,1,1,0,1,11,16,2,2,0.6875,0
92500,1250,74,2,0,4,1,14,19,2,7,0.7368421052631579,0
64500,1402,46,1,1,0,1,12,13,5,6,0.9230769230769231,0
42500,966,44,1,1,0,2,2,9,6,7,0.2222222222222222,1
44000,1128,39,1,3,0,1,9,12,6,7,0.75,0
55000,743,74,2,1,0,1,1,9,5,4,0.1111111111111111,0
97600,800,122,3,3,4,1,11,16,5,7,0.6875,0
65838,650,101,3,1,0,1,7,12,5,3,0.5833333333333334,0
180000,1161,155,4,1,0,1,1,3,5,4,0.3333333333333333,0
77000,1027,75,3,1,2,0,6,9,5,4,0.6666666666666666,0
26700,621,43,1,1,0,2,6,16,5,0,0.375,1
81500,867,94,2,1,3,2,9,9,6,4,1.0,0
128750,1030,125,4,1,0,1,10,10,6,3,1.0,0
55800,962,58,3,2,3,0,5,5,6,6,1.0,0
58500,1383,42,1,3,1,1,8,9,5,7,0.8888888888888888,0
95000,913,104,3,0,1,1,3,9,5,7,0.3333333333333333,1
67900,1095,62,3,0,3,0,5,5,5,7,1.0,0
43000,1103,39,1,2,4,2,9,11,5,6,0.8181818181818182,0
97000,968,100,2,1,0,0,3,14,5,3,0.21428571428571427,1
63000,1370,46,1,1,0,1,8,12,5,6,0.6666666666666666,0
77500,1140,68,2,1,0,1,5,14,5,3,0.35714285714285715,1
28300,690,41,1,1,1,2,7,14,5,4,0.5,1
55500,1261,44,1,1,2,1,10,13,5,4,0.7692307692307693,0
82000,828,99,3,2,2,1,9,14,5,2,0.6428571428571429,0
55000,1222,45,2,0,1,0,4,4,5,7,1.0,0
93000,1224,76,2,1,0,1,3,12,5,4,0.25,1
15500,969,16,1,3,1,2,5,5,6,62,1.0,0
66000,985,67,2,1,0,0,4,14,2,3,0.2857142857142857,1
43500,1012,43,2,3,1,2,1,3,6,62,0.3333333333333333,0
92500,1250,74,2,0,4,1,14,19,2,7,0.7368421052631579,0
81000,818,99,3,2,2,1,3,14,2,2,0.21428571428571427,1
128750,1030,125,4,1,0,1,10,14,2,3,0.7142857142857143,0
52000,981,53,1,1,0,0,3,9,5,4,0.3333333333333333,1
60000,1200,50,1,1,0,1,11,12,5,5,0.9166666666666666,0
